monotonic_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,mx_gauss,my_gauss,mz_gauss,roll_deg,pitch_deg,yaw_deg
26935.776472,0.00718,0.13400,-10.09053,-12.9850,8.8550,2.9925,-0.82447,-0.22620,1.12201,-47.588,31.665,-10.465
26935.776472,0.01196,0.13041,-10.09293,-12.8100,8.9775,3.0625,-0.82447,-0.22620,1.12201,-48.733,32.154,-11.043
26935.776472,0.01436,0.13400,-10.09891,-12.7400,8.9425,3.0275,-0.82447,-0.22620,1.12201,-49.903,32.638,-11.641
26935.776472,0.00718,0.13161,-10.08455,-13.0025,8.8900,3.0975,-0.82447,-0.22620,1.12201,-51.100,33.117,-12.262
26935.776472,0.01196,0.13280,-10.09293,-13.0375,8.9950,3.0625,-0.82447,-0.22620,1.12201,-52.325,33.591,-12.906
26935.776472,0.00957,0.12921,-10.09532,-12.9675,8.9950,2.9575,-0.82447,-0.22620,1.12201,-53.575,34.056,-13.575
26935.776472,0.01436,0.13041,-10.08096,-12.8800,8.9075,3.0800,-0.82447,-0.22620,1.12201,-54.850,34.514,-14.266
26935.776472,0.01914,0.13280,-10.08335,-12.9675,8.8900,3.0450,-0.82447,-0.22620,1.12201,-56.153,34.963,-14.980
26935.776472,0.00718,0.12921,-10.08934,-12.9850,8.8725,3.0975,-0.81896,-0.22562,1.12375,-57.482,35.404,-15.717
26935.776472,0.00957,0.12562,-10.08096,-13.1075,9.0300,3.0450,-0.81896,-0.22562,1.12375,-58.839,35.834,-16.481
26935.881853,0.00718,0.12323,-10.08814,-12.9150,8.9950,3.0975,-0.81896,-0.22562,1.12375,-60.222,36.253,-17.268
26935.881853,0.00718,0.13519,-10.08694,-12.8275,8.8550,3.0800,-0.81896,-0.22562,1.12375,-61.628,36.660,-18.077
26935.881853,0.01196,0.12802,-10.08335,-12.8975,8.9075,3.1850,-0.81896,-0.22562,1.12375,-63.061,37.054,-18.910
